Feature,Coefficient,Abs_Coefficient
Total_Cycle_Time,-10.07190909200014,10.07190909200014
Efficiency_Score,3.5278845282143836,3.5278845282143836
Cooling_Time,2.7006629539382314,2.7006629539382314
Injection_Temperature,2.352259508845435,2.352259508845435
Machine_Age,-1.8118093535895383,1.8118093535895383
Machine_Type_Type_C,-1.6983745611645809,1.6983745611645809
Shift_Night,-1.5922927539670726,1.5922927539670726
Machine_Type_Type_B,-1.1831652680211286,1.1831652680211286
Injection_Pressure,1.0511602159977147,1.0511602159977147
Material_Viscosity,-1.0337614897612963,1.0337614897612963
Temperature_Pressure_Ratio,-1.015147243259182,1.015147243259182
Material_Grade,0.9989265131116392,0.9989265131116392
Shift_Evening,-0.7851905456358064,0.7851905456358064
Day_of_Week_Wednesday,0.617049496304729,0.617049496304729
Cycle_Time,-0.5822289652606963,0.5822289652606963
Operator_Experience,0.4096929150523101,0.4096929150523101
Day_of_Week_Thursday,0.3293703588859758,0.3293703588859758
Day_of_Week_Tuesday,0.24682432460845474,0.24682432460845474
Day_of_Week_Saturday,0.22736349270701808,0.22736349270701808
Day_of_Week_Monday,0.2051530088353956,0.2051530088353956
Day_of_Week_Sunday,0.01764484456558229,0.01764484456558229
